pocz;28.2;222.1;106.8;124.3
poczgora;28.2;222.1;0.0;124.3
srodekgora;109.5;216.6;0.0;124.3
pocz2;27.5;219.8;111.9;124.3
pocz2gora;27.5;219.8;0.0;124.3
srodekdol;108.7;219.8;15.7;124.3
p1;137.0;111.0;8.6;124.3
p2;138.8;117.3;8.6;124.3
p3;140.3;127.0;8.6;124.3
p4;138.7;135.8;8.6;124.3
p5;139.1;137.5;2.3;124.3
p6;138.0;148.9;2.3;124.3
p7;136.6;161.7;2.3;124.3
p8;134.3;175.8;2.3;124.3
p9;132.1;184.8;2.4;124.3
p10;131.0;194.4;2.9;124.3
p11;127.7;187.3;2.9;124.3
p12;126.5;189.7;3.8;124.3
p13;124.9;179.8;3.6;124.3
p14;124.9;159.1;3.6;124.3
p15;128.5;154.3;3.6;124.3
p16;131.2;153.6;3.6;124.3
p17;131.2;163.6;3.6;124.3
p18;133.0;152.0;3.6;124.3
p19;136.0;149.8;3.6;124.3
p20;136.0;134.8;3.6;124.3
p21;134.1;134.8;3.6;124.3
p22;133.1;122.8;3.6;124.3
p23;135.9;124.0;3.6;124.3
p24;138.3;121.3;3.6;124.3
6kongora;138.3;121.3;0.0;124.3
q1;132.8;99.1;2.6;124.3
q2;129.7;109.9;2.6;124.3
q3;126.5;100.9;3.0;124.3
q4;119.1;169.7;4.8;124.3
q5;116.1;158.6;5.2;124.3
q6;125.1;82.0;5.7;124.3
7gora;131.8;103.0;0.0;124.3
poczdol3;28.5;222.0;101.9;124.3
poczgora3;28.5;222.0;-0.2;124.3
