poczgora;28.2;222.1;0.0;-171.8
pocz;28.2;222.1;106.8;-171.8
srodekgora;80.0;145.0;0.0;-171.8
srodekdol;80.0;145.0;15.7;-171.8
p1;80.0;145.0;0.0;-171.8
p2;36.07;101.86;0.0;-171.8
p3;36.07;101.86;15.7;-171.8
p4;38.5;92.41;15.7;-171.8
p5;43.18;83.1;15.7;-171.8
p6;52.23;76.82;15.7;-171.8
p7;61.64;77.25;15.7;-171.8
p8;68.38;83.87;15.7;-171.8
p9;71.98;91.35;15.7;-171.8
p10;67.44;97.34;15.7;-171.8
p11;62.89;88.36;15.7;-171.8
p12;54.74;86.43;15.7;-171.8
p13;48.32;92.42;15.7;-171.8
p14;45.34;104.61;15.7;-171.8
p15;44.71;116.15;15.7;-171.8
p16;46.12;128.12;15.7;-171.8
p17;60.07;128.55;15.7;-171.8
p18;62.58;115.93;15.7;-171.8
p19;54.12;110.8;15.7;-171.8
p20;45.02;116.15;15.7;-171.8
p21;45.34;104.82;15.7;-171.8
p22;55.06;102.04;15.7;-171.8
p23;64.77;108.45;15.7;-171.8
p24;70.73;116.15;15.7;-171.8
p25;68.38;130.26;15.7;-171.8
p26;62.89;140.52;15.7;-171.8
p27;46.91;140.3;15.7;-171.8
p28;37.19;135.39;15.7;-171.8
p29;35.31;115.93;15.7;-171.8
p30;36.13;102.04;15.7;-171.8
p31;36.13;102.04;0.0;-171.8
p32;93.51;78.96;0.0;-171.8
p33;93.51;78.96;15.7;-171.8
p34;108.4;78.41;15.7;-171.8
p35;124.69;78.14;15.7;-171.8
p36;118.06;106.12;15.7;-171.8
p37;114.64;140.42;15.7;-171.8
p38;102.56;139.32;15.7;-171.8
p39;106.79;105.02;15.7;-171.8
p40;109.0;92.4;15.7;-171.8
p41;92.51;92.95;15.7;-171.8
p42;93.51;78.96;15.7;-171.8
p43;93.51;78.96;0.0;-171.8
p44;93.91;171.72;0.0;-171.8
p45;93.91;171.72;15.7;-171.8
p46;102.24;171.89;15.7;-171.8
p47;109.26;174.88;15.7;-171.8
p48;113.43;178.77;15.7;-171.8
p49;120.01;183.86;15.7;-171.8
p50;121.98;189.84;15.7;-171.8
p51;120.67;196.73;15.7;-171.8
p52;114.96;196.73;15.7;-171.8
p53;113.43;203.01;15.7;-171.8
p54;111.45;209.29;15.7;-171.8
p55;107.5;213.18;15.7;-171.8
p56;107.07;211.98;15.7;-171.8
p57;103.11;208.7;15.7;-171.8
p58;104.21;200.91;15.7;-171.8
p59;102.24;196.43;15.7;-171.8
p60;98.73;191.94;15.7;-171.8
p61;94.56;188.05;15.7;-171.8
p62;91.92;183.86;15.7;-171.8
p63;91.48;176.08;15.7;-171.8
p64;93.46;171.89;15.7;-171.8
p65;93.46;171.89;0.0;-171.8
